flight_number,airline,origin,destination,departure,duration_minutes,aircraft,days
CW601,CW,MEG,VNP,08:00,40,DASH,1234567
CW602,CW,VNP,MEG,09:10,40,DASH,1234567
CW603,CW,MEG,VNP,15:40,40,DASH,1234567
CW604,CW,VNP,MEG,16:50,40,DASH,1234567
CW609,CW,AIR,HLD,09:30,115,DASH,123456
CW610,CW,HLD,AIR,11:30,115,DASH,123456
CW611,CW,AIR,KAI,07:20,95,DASH,1234567
CW612,CW,KAI,AIR,09:00,95,DASH,1234567
CW613,CW,AIR,KAI,14:10,95,DASH,1234567
CW614,CW,KAI,AIR,15:50,95,DASH,1234567
CW615,CW,AIR,BRZ,08:40,55,DASH,1234567
CW616,CW,BRZ,AIR,10:10,55,DASH,1234567
CW617,CW,KAI,HLD,12:40,60,DASH,246
CW618,CW,HLD,KAI,14:00,60,DASH,246
MX201,MX,AIR,WSG,06:45,45,RJ90,12345
MX202,MX,WSG,AIR,08:00,45,RJ90,12345
MX203,MX,AIR,WSG,11:30,45,RJ90,12345
MX204,MX,WSG,AIR,12:45,45,RJ90,12345
MX205,MX,AIR,WSG,17:20,45,RJ90,12345
MX206,MX,WSG,AIR,18:35,45,RJ90,12345
MX207,MX,AIR,MEG,07:00,75,RJ90,12345
MX208,MX,MEG,AIR,09:00,75,RJ90,12345
MX209,MX,AIR,MEG,12:00,75,RJ90,12345
MX210,MX,MEG,AIR,14:00,75,RJ90,12345
MX211,MX,AIR,MEG,18:00,75,RJ90,12345
MX212,MX,MEG,AIR,20:00,75,RJ90,12345
MX213,MX,AIR,ZHR,07:30,65,RJ90,12345
MX214,MX,ZHR,AIR,09:30,65,RJ90,12345
MX215,MX,AIR,ZHR,16:30,65,RJ90,12345
MX216,MX,ZHR,AIR,18:30,65,RJ90,12345
PF301,PF,AIR,ZHR,05:55,65,H320,1234567
PF302,PF,ZHR,AIR,07:50,65,H320,1234567
PF303,PF,AIR,ZHR,20:30,65,H320,1234567
PF304,PF,ZHR,AIR,22:25,65,H320,1234567
PF305,PF,AIR,WDR,06:10,55,H320,1234567
PF306,PF,WDR,AIR,21:10,55,H320,1234567
PF307,PF,MEG,ZHR,13:20,65,H320,1234567
PF308,PF,ZHR,MEG,15:15,65,H320,1234567
PF309,PF,WSG,ZHR,12:40,65,H320,1234567
PF310,PF,ZHR,WSG,14:35,65,H320,1234567
PF311,PF,KEL,WDR,11:15,85,H320,246
PF312,PF,WDR,KEL,14:00,85,H320,246
PF313,PF,AIR,BRZ,06:40,45,H320,4567
PF314,PF,BRZ,AIR,08:30,45,H320,4567
SA101,SA,AIR,MEG,06:30,75,H320,1234567
SA102,SA,MEG,AIR,08:30,75,H320,1234567
SA103,SA,AIR,MEG,12:15,75,H320,1234567
SA104,SA,MEG,AIR,14:20,75,H320,1234567
SA105,SA,AIR,MEG,18:40,75,H320,1234567
SA106,SA,MEG,AIR,20:45,75,H320,1234567
SA107,SA,AIR,WSG,07:10,50,H320,1234567
SA108,SA,WSG,AIR,09:00,50,H320,1234567
SA109,SA,AIR,WSG,16:50,50,H320,1234567
SA110,SA,WSG,AIR,18:40,50,H320,1234567
SA111,SA,AIR,KEL,07:45,65,H320,1234567
SA112,SA,KEL,AIR,09:45,65,H320,1234567
SA113,SA,AIR,KEL,15:30,65,H320,1234567
SA114,SA,KEL,AIR,17:30,65,H320,1234567
SA115,SA,AIR,ZHR,08:20,65,H320,1234567
SA116,SA,ZHR,AIR,10:20,65,H320,1234567
SA117,SA,AIR,ZHR,17:15,65,H320,1234567
SA118,SA,ZHR,AIR,19:15,65,H320,1234567
SA125,SA,AIR,WDR,08:50,55,H320,1234567
SA126,SA,WDR,AIR,11:00,55,H320,1234567
SA127,SA,AIR,WDR,14:40,55,H320,1234567
SA128,SA,WDR,AIR,16:50,55,H320,1234567
SA129,SA,AIR,KAI,10:30,65,H320,1234567
SA130,SA,KAI,AIR,12:35,65,H320,1234567
